transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000500,card_00329,2026-01-27T18:43:55Z,utilities,True,False,dev_002730,US,12410
txn_0000501,card_00442,2026-01-25T18:08:42Z,grocery,False,False,dev_001578,IN,1426
txn_0000502,card_00099,2026-01-18T12:24:46Z,pharmacy,True,False,dev_000611,IN,3645
txn_0000503,card_00315,2026-01-30T17:40:19Z,electronics,True,False,dev_000345,GB,7750
txn_0000504,card_00226,2026-01-23T15:59:15Z,grocery,False,False,dev_002227,IN,2807
txn_0000505,card_00724,2026-01-04T02:45:27Z,atm_withdrawal,False,False,dev_003959,AE,31743
txn_0000506,card_00235,2026-01-12T07:10:48Z,electronics,True,False,dev_001968,IN,6645
txn_0000507,card_00191,2026-01-06T14:58:45Z,online_retail,True,False,dev_002040,SG,8197
txn_0000508,card_00394,2026-01-12T17:12:33Z,grocery,False,False,dev_001008,GB,4057
txn_0000509,card_00759,2026-01-20T21:27:00Z,online_retail,False,False,dev_001301,US,12063
txn_0000510,card_00661,2026-01-30T13:37:43Z,restaurant,False,False,dev_004672,AE,1002
txn_0000511,card_00625,2026-01-12T10:39:21Z,electronics,False,False,dev_003851,AE,4999
txn_0000512,card_00820,2026-01-08T17:49:32Z,entertainment,False,False,dev_004379,DE,2079
txn_0000513,card_00360,2026-01-24T05:13:46Z,electronics,False,False,dev_003611,GB,2622
txn_0000514,card_00224,2026-01-05T02:38:03Z,atm_withdrawal,False,False,dev_004374,AE,3901
txn_0000515,card_00803,2026-01-05T01:08:58Z,online_retail,False,False,dev_003996,IN,215393
txn_0000516,card_00243,2026-01-22T20:26:36Z,atm_withdrawal,False,False,dev_002473,IN,11254
txn_0000517,card_00890,2026-01-09T13:51:47Z,restaurant,False,False,dev_003183,GB,3995
txn_0000518,card_00146,2026-01-24T01:40:40Z,online_retail,True,False,dev_003652,AE,5513
txn_0000519,card_00890,2026-01-24T17:23:55Z,online_retail,True,False,dev_004062,DE,14189
txn_0000520,card_00691,2026-01-13T22:00:46Z,pharmacy,True,False,dev_000916,AE,6466
txn_0000521,card_00580,2026-01-17T17:00:41Z,electronics,True,False,dev_004396,DE,24107
txn_0000522,card_00492,2026-01-13T11:42:37Z,travel,False,False,dev_002438,DE,8497
txn_0000523,card_00275,2026-01-15T05:40:28Z,online_retail,True,False,dev_002150,IN,1580
txn_0000524,card_00852,2026-01-11T15:27:10Z,restaurant,True,False,dev_000218,AE,2801
txn_0000525,card_00329,2026-01-24T22:34:22Z,entertainment,True,True,dev_001521,US,10104
txn_0000526,card_00362,2026-01-25T01:02:14Z,atm_withdrawal,False,False,dev_000799,AE,30992
txn_0000527,card_00190,2026-01-24T18:45:05Z,grocery,True,False,dev_000271,US,49406
txn_0000528,card_00827,2026-01-26T01:10:11Z,grocery,False,False,dev_003830,US,10184
txn_0000529,card_00652,2026-01-25T23:23:39Z,online_retail,True,False,dev_001545,SG,5160
txn_0000530,card_00883,2026-01-19T07:02:46Z,restaurant,True,False,dev_004030,AE,1352
txn_0000531,card_00624,2026-01-03T03:42:16Z,grocery,False,False,dev_004646,US,12591
txn_0000532,card_00169,2026-01-14T12:01:52Z,atm_withdrawal,True,False,dev_003586,IN,8773
txn_0000533,card_00717,2026-01-05T05:20:49Z,entertainment,True,False,dev_003646,DE,1646
txn_0000534,card_00282,2026-01-14T07:13:10Z,restaurant,True,False,dev_004790,IN,4939
txn_0000535,card_00016,2026-01-08T15:57:05Z,pharmacy,True,False,dev_003497,DE,45665
txn_0000536,card_00482,2026-01-22T22:30:14Z,fuel,True,False,dev_002659,AE,30563
txn_0000537,card_00528,2026-01-03T01:57:13Z,grocery,False,False,dev_003208,GB,10024
txn_0000538,card_00330,2026-01-28T18:28:59Z,electronics,True,False,dev_001520,IN,1269
txn_0000539,card_00319,2026-01-09T19:03:58Z,utilities,True,False,dev_002009,SG,1945
txn_0000540,card_00670,2026-01-05T18:59:44Z,utilities,False,False,dev_003198,GB,9662
txn_0000541,card_00719,2026-01-08T20:56:42Z,entertainment,False,True,dev_001110,DE,23486
txn_0000542,card_00624,2026-01-08T15:54:34Z,electronics,True,False,dev_004215,IN,37368
txn_0000543,card_00608,2026-01-01T12:43:00Z,fuel,True,False,dev_004592,GB,1809
txn_0000544,card_00135,2026-01-27T14:31:43Z,restaurant,True,False,dev_000306,US,29961
txn_0000545,card_00363,2026-01-28T08:20:38Z,fuel,True,False,dev_004370,SG,6243
txn_0000546,card_00721,2026-01-29T18:21:39Z,entertainment,True,False,dev_002189,IN,5589
txn_0000547,card_00175,2026-01-27T06:20:49Z,grocery,True,False,dev_004884,AE,9775
txn_0000548,card_00130,2026-01-18T17:10:39Z,electronics,True,False,dev_000679,IN,65574
txn_0000549,card_00335,2026-01-23T21:11:17Z,entertainment,False,False,dev_001659,DE,2594
txn_0000550,card_00388,2026-01-26T13:46:44Z,online_retail,True,False,dev_003552,GB,20298
txn_0000551,card_00223,2026-01-20T07:18:48Z,online_retail,False,True,dev_004308,GB,13848
txn_0000552,card_00588,2026-01-11T20:19:45Z,restaurant,False,False,dev_002256,AE,6417
txn_0000553,card_00509,2026-01-10T10:48:30Z,online_retail,True,False,dev_000147,US,3099
txn_0000554,card_00256,2026-01-29T14:44:15Z,online_retail,True,False,dev_001354,GB,14758
txn_0000555,card_00277,2026-01-25T11:31:06Z,fuel,False,False,dev_002716,GB,19050
txn_0000556,card_00849,2026-01-28T06:35:03Z,fuel,False,False,dev_002842,AE,2947
txn_0000557,card_00269,2026-01-30T05:35:35Z,online_retail,False,False,dev_000553,US,2110
txn_0000558,card_00112,2026-01-19T21:11:01Z,travel,False,False,dev_003027,SG,17746
txn_0000559,card_00572,2026-01-27T19:05:00Z,online_retail,False,False,dev_002507,US,1851
txn_0000560,card_00125,2026-01-12T21:43:49Z,travel,True,False,dev_002597,DE,7729
txn_0000561,card_00373,2026-01-19T15:11:23Z,pharmacy,True,False,dev_001255,GB,6285
txn_0000562,card_00400,2026-01-22T20:38:49Z,electronics,False,False,dev_003354,AE,9171
