transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000800,card_00017,2026-01-13T14:48:30Z,grocery,True,False,dev_002659,IN,18967
txn_0000801,card_00154,2026-01-05T21:22:51Z,atm_withdrawal,True,False,dev_001800,IN,6664
txn_0000802,card_00191,2026-01-15T02:21:27Z,restaurant,True,False,dev_004108,GB,8350
txn_0000803,card_00714,2026-01-11T21:30:58Z,electronics,True,False,dev_002629,AE,21060
txn_0000804,card_00444,2026-01-07T03:04:53Z,entertainment,False,False,dev_003415,US,3339
txn_0000805,card_00072,2026-01-27T16:09:33Z,restaurant,False,False,dev_003053,SG,2085
txn_0000806,card_00184,2026-01-21T11:45:40Z,travel,False,False,dev_001655,US,551
txn_0000807,card_00895,2026-01-12T21:40:10Z,pharmacy,False,False,dev_004506,US,13724
txn_0000808,card_00252,2026-01-21T21:09:12Z,entertainment,True,False,dev_002147,US,2088
txn_0000809,card_00772,2026-01-09T05:12:59Z,entertainment,False,False,dev_000151,GB,2646
txn_0000810,card_00749,2026-01-03T22:59:45Z,travel,True,False,dev_002636,US,4585
txn_0000811,card_00524,2026-01-24T13:33:32Z,grocery,True,False,dev_004227,SG,4527
txn_0000812,card_00131,2026-01-12T13:52:42Z,entertainment,True,False,dev_000453,DE,7290
txn_0000813,card_00293,2026-01-04T23:52:22Z,pharmacy,False,False,dev_002201,US,45772
txn_0000814,card_00344,2026-01-25T09:48:46Z,travel,True,False,dev_001731,AE,1819
txn_0000815,card_00531,2026-01-10T00:17:42Z,fuel,False,False,dev_001605,DE,2579
txn_0000816,card_00769,2026-01-09T12:34:32Z,electronics,True,False,dev_001038,US,36551
txn_0000817,card_00301,2026-01-06T12:04:29Z,restaurant,True,False,dev_000473,DE,5270
txn_0000818,card_00786,2026-01-18T02:44:35Z,travel,True,False,dev_004566,IN,8175
txn_0000819,card_00431,2026-01-03T05:46:59Z,online_retail,True,False,dev_001396,SG,5499
txn_0000820,card_00331,2026-01-10T13:43:38Z,entertainment,False,False,dev_001106,GB,12456
txn_0000821,card_00463,2026-01-10T03:39:01Z,grocery,True,False,dev_001681,US,19795
txn_0000822,card_00134,2026-01-14T19:03:47Z,online_retail,True,False,dev_001745,DE,16876
txn_0000823,card_00078,2026-01-23T11:16:04Z,entertainment,True,False,dev_003814,US,2770
txn_0000824,card_00319,2026-01-09T16:41:31Z,atm_withdrawal,False,True,dev_004105,AE,32375
txn_0000825,card_00410,2026-01-20T08:18:18Z,travel,False,False,dev_000581,IN,1218
txn_0000826,card_00161,2026-01-04T04:07:12Z,entertainment,True,False,dev_002542,IN,2288
txn_0000827,card_00057,2026-01-19T15:07:12Z,online_retail,False,False,dev_001603,US,1650
txn_0000828,card_00888,2026-01-30T03:11:30Z,pharmacy,True,False,dev_003982,AE,8172
txn_0000829,card_00338,2026-01-17T15:50:51Z,pharmacy,False,False,dev_002442,GB,3448
txn_0000830,card_00245,2026-01-04T04:11:25Z,atm_withdrawal,True,False,dev_001308,GB,7805
txn_0000831,card_00464,2026-01-13T11:53:23Z,online_retail,True,False,dev_003814,DE,4454
txn_0000832,card_00631,2026-01-13T14:02:13Z,atm_withdrawal,False,False,dev_001023,GB,5427
txn_0000833,card_00446,2026-01-11T11:21:06Z,atm_withdrawal,True,False,dev_002562,AE,12135
txn_0000834,card_00543,2026-01-29T20:10:02Z,atm_withdrawal,False,False,dev_004958,AE,12819
txn_0000835,card_00140,2026-01-26T04:00:28Z,atm_withdrawal,True,False,dev_004881,GB,25856
txn_0000836,card_00571,2026-01-23T21:23:00Z,pharmacy,False,False,dev_001793,DE,2857
txn_0000837,card_00842,2026-01-21T16:33:53Z,electronics,True,False,dev_002980,IN,8458
txn_0000838,card_00152,2026-01-11T04:11:41Z,pharmacy,False,False,dev_002438,IN,1349
txn_0000839,card_00867,2026-01-18T23:58:03Z,restaurant,False,False,dev_000548,AE,2413
txn_0000840,card_00746,2026-01-18T13:27:29Z,atm_withdrawal,True,False,dev_003864,DE,13152
txn_0000841,card_00042,2026-01-10T23:54:46Z,pharmacy,False,False,dev_003982,GB,2061
txn_0000842,card_00581,2026-01-04T01:14:53Z,utilities,False,False,dev_003407,SG,3307
txn_0000843,card_00259,2026-01-19T21:00:27Z,grocery,False,False,dev_004030,AE,2143
txn_0000844,card_00861,2026-01-01T03:24:38Z,travel,True,False,dev_000855,AE,4054
txn_0000845,card_00801,2026-01-03T09:52:30Z,restaurant,True,False,dev_001160,US,13434
txn_0000846,card_00229,2026-01-10T05:01:12Z,electronics,True,False,dev_000723,IN,13951
txn_0000847,card_00336,2026-01-23T11:41:24Z,utilities,True,False,dev_004750,DE,16074
txn_0000848,card_00404,2026-01-27T01:07:49Z,entertainment,False,False,dev_004595,US,3406
txn_0000849,card_00424,2026-01-21T03:07:38Z,atm_withdrawal,True,False,dev_003284,DE,6115
txn_0000850,card_00669,2026-01-29T00:24:01Z,fuel,False,False,dev_004189,IN,6789
txn_0000851,card_00458,2026-01-30T13:31:14Z,restaurant,False,True,dev_001221,US,49285
txn_0000852,card_00880,2026-01-19T08:01:03Z,atm_withdrawal,True,False,dev_003852,IN,9354
txn_0000853,card_00520,2026-01-02T15:47:47Z,online_retail,True,False,dev_001694,GB,4454
txn_0000854,card_00147,2026-01-15T01:55:35Z,atm_withdrawal,True,False,dev_003214,AE,5768
txn_0000855,card_00246,2026-01-26T11:46:01Z,travel,False,False,dev_002233,AE,6519
txn_0000856,card_00463,2026-01-28T10:29:20Z,restaurant,True,False,dev_002792,DE,5520
txn_0000857,card_00705,2026-01-13T12:59:18Z,travel,True,False,dev_003924,GB,9935
txn_0000858,card_00108,2026-01-22T08:34:43Z,fuel,True,False,dev_004452,AE,18135
txn_0000859,card_00438,2026-01-05T17:27:44Z,pharmacy,True,False,dev_000592,SG,1060
txn_0000860,card_00232,2026-01-03T07:29:02Z,entertainment,True,False,dev_000023,DE,2272
txn_0000861,card_00702,2026-01-20T17:45:39Z,travel,True,False,dev_003721,US,31796
txn_0000862,card_00879,2026-01-05T03:00:23Z,utilities,False,False,dev_000279,US,2852
txn_0000863,card_00317,2026-01-22T19:52:10Z,online_retail,False,False,dev_000728,IN,4691
txn_0000864,card_00685,2026-01-11T14:19:08Z,pharmacy,True,False,dev_003009,AE,3526
txn_0000865,card_00727,2026-01-16T18:19:23Z,travel,True,False,dev_000718,IN,2492
txn_0000866,card_00388,2026-01-04T09:59:27Z,fuel,False,False,dev_001336,DE,9627
txn_0000867,card_00493,2026-01-13T11:26:13Z,atm_withdrawal,True,False,dev_003896,AE,2659
txn_0000868,card_00168,2026-01-19T17:12:12Z,restaurant,False,False,dev_002611,IN,12963
txn_0000869,card_00221,2026-01-05T07:17:23Z,travel,True,False,dev_002281,IN,9230
txn_0000870,card_00213,2026-01-21T06:27:51Z,fuel,True,False,dev_002683,DE,8439
txn_0000871,card_00124,2026-01-02T21:24:55Z,pharmacy,True,False,dev_004839,IN,4328
txn_0000872,card_00812,2026-01-14T04:24:55Z,online_retail,False,False,dev_003378,US,18477
txn_0000873,card_00379,2026-01-21T17:43:29Z,travel,True,False,dev_004959,IN,14732
txn_0000874,card_00618,2026-01-16T21:40:19Z,atm_withdrawal,True,False,dev_002768,SG,33354
txn_0000875,card_00036,2026-01-08T00:07:56Z,online_retail,False,False,dev_003031,SG,18353
txn_0000876,card_00297,2026-01-28T18:18:31Z,online_retail,False,False,dev_001487,DE,3144
txn_0000877,card_00468,2026-01-02T21:48:27Z,atm_withdrawal,False,False,dev_001396,IN,13085
txn_0000878,card_00478,2026-01-29T08:53:16Z,fuel,True,False,dev_001178,AE,3390
txn_0000879,card_00662,2026-01-19T09:25:30Z,electronics,False,False,dev_004322,SG,6773
txn_0000880,card_00807,2026-01-26T04:20:28Z,electronics,False,False,dev_001090,AE,4033
txn_0000881,card_00352,2026-01-28T19:06:41Z,online_retail,False,False,dev_003148,IN,12464
txn_0000882,card_00421,2026-01-25T09:38:07Z,fuel,True,False,dev_003218,DE,1391
txn_0000883,card_00858,2026-01-20T08:16:55Z,fuel,True,False,dev_001914,GB,8959
txn_0000884,card_00607,2026-01-24T14:48:00Z,travel,True,False,dev_004678,SG,15571
txn_0000885,card_00175,2026-01-16T23:23:08Z,travel,True,False,dev_002990,GB,3859
txn_0000886,card_00695,2026-01-25T04:40:13Z,grocery,True,False,dev_000333,GB,4714
txn_0000887,card_00067,2026-01-21T19:28:15Z,grocery,True,False,dev_002590,GB,14264
txn_0000888,card_00092,2026-01-27T08:10:49Z,travel,True,False,dev_002836,SG,20142
txn_0000889,card_00478,2026-01-03T15:15:09Z,utilities,True,False,dev_003275,SG,6755
txn_0000890,card_00727,2026-01-23T13:52:20Z,restaurant,False,False,dev_003278,IN,16308
txn_0000891,card_00498,2026-01-06T09:36:45Z,pharmacy,True,False,dev_003393,IN,3117
txn_0000892,card_00866,2026-01-05T02:26:51Z,online_retail,False,False,dev_001366,IN,2452
txn_0000893,card_00461,2026-01-09T14:52:48Z,fuel,False,False,dev_004321,SG,1504
txn_0000894,card_00694,2026-01-16T01:40:00Z,pharmacy,False,False,dev_000310,IN,20582
txn_0000895,card_00390,2026-01-09T10:58:53Z,restaurant,False,False,dev_004071,SG,2627
txn_0000896,card_00516,2026-01-20T03:06:03Z,electronics,False,False,dev_000820,IN,9686
txn_0000897,card_00065,2026-01-25T11:03:50Z,electronics,True,False,dev_003533,DE,15279
txn_0000898,card_00388,2026-01-04T09:15:39Z,restaurant,True,False,dev_002677,AE,2305
txn_0000899,card_00590,2026-01-18T12:08:53Z,online_retail,True,False,dev_002999,GB,10902
txn_0000900,card_00887,2026-01-14T13:09:56Z,pharmacy,True,False,dev_003505,US,17958
txn_0000901,card_00879,2026-01-06T09:05:24Z,electronics,True,False,dev_003073,GB,41089
txn_0000902,card_00729,2026-01-22T06:09:12Z,restaurant,False,False,dev_002945,IN,34126
txn_0000903,card_00021,2026-01-01T05:44:53Z,utilities,False,False,dev_001811,AE,12704
txn_0000904,card_00036,2026-01-21T12:53:30Z,fuel,False,False,dev_004065,AE,16809
txn_0000905,card_00054,2026-01-29T06:04:36Z,travel,True,False,dev_002290,SG,1767
txn_0000906,card_00556,2026-01-15T13:43:50Z,grocery,True,False,dev_004978,SG,13669
txn_0000907,card_00776,2026-01-14T06:46:20Z,electronics,False,False,dev_001125,US,1382
txn_0000908,card_00022,2026-01-16T20:59:22Z,fuel,True,True,dev_002009,DE,15628
txn_0000909,card_00060,2026-01-08T04:11:12Z,restaurant,True,False,dev_004488,DE,6253
txn_0000910,card_00854,2026-01-10T03:42:21Z,utilities,False,False,dev_003480,AE,2831
txn_0000911,card_00435,2026-01-18T23:52:22Z,online_retail,False,False,dev_003633,AE,23887
txn_0000912,card_00108,2026-01-24T11:27:22Z,atm_withdrawal,True,False,dev_003230,US,9286
txn_0000913,card_00414,2026-01-02T19:42:08Z,online_retail,True,False,dev_000136,DE,33162
txn_0000914,card_00425,2026-01-26T11:07:59Z,atm_withdrawal,True,False,dev_002367,SG,2821
txn_0000915,card_00537,2026-01-15T22:22:45Z,electronics,False,False,dev_003740,DE,3598
txn_0000916,card_00038,2026-01-09T10:05:05Z,atm_withdrawal,False,False,dev_003373,DE,1735
txn_0000917,card_00134,2026-01-30T18:57:30Z,fuel,True,False,dev_003470,US,3145
txn_0000918,card_00787,2026-01-21T21:42:38Z,fuel,True,True,dev_003313,GB,37196
txn_0000919,card_00193,2026-01-19T10:37:00Z,utilities,False,False,dev_000884,SG,4070
txn_0000920,card_00727,2026-01-16T19:10:35Z,entertainment,False,False,dev_004702,SG,8556
txn_0000921,card_00337,2026-01-24T13:04:25Z,entertainment,False,False,dev_004325,AE,16422
txn_0000922,card_00040,2026-01-08T23:43:52Z,utilities,True,False,dev_000664,IN,28200
txn_0000923,card_00808,2026-01-25T11:20:43Z,entertainment,False,False,dev_004412,SG,5420
txn_0000924,card_00375,2026-01-22T19:55:34Z,travel,True,True,dev_003827,DE,44783
txn_0000925,card_00566,2026-01-06T08:49:13Z,travel,True,False,dev_002517,SG,7316
txn_0000926,card_00478,2026-01-23T01:57:59Z,restaurant,True,False,dev_000702,SG,1122
txn_0000927,card_00357,2026-01-02T18:13:13Z,online_retail,False,False,dev_001898,GB,10653
txn_0000928,card_00531,2026-01-29T23:09:04Z,pharmacy,True,False,dev_000380,AE,18078
txn_0000929,card_00191,2026-01-20T17:54:07Z,atm_withdrawal,False,False,dev_004516,SG,3816
txn_0000930,card_00784,2026-01-29T07:21:59Z,pharmacy,True,False,dev_004593,SG,3246
txn_0000931,card_00670,2026-01-05T17:03:50Z,entertainment,False,False,dev_002380,US,44136
txn_0000932,card_00476,2026-01-10T09:09:33Z,grocery,True,False,dev_003114,AE,8428
txn_0000933,card_00598,2026-01-28T12:52:55Z,entertainment,True,False,dev_003911,GB,9158
txn_0000934,card_00251,2026-01-12T01:38:45Z,grocery,True,False,dev_000538,US,1534
txn_0000935,card_00015,2026-01-21T19:47:47Z,travel,False,False,dev_002300,SG,5089
txn_0000936,card_00598,2026-01-06T12:03:09Z,online_retail,False,False,dev_002407,AE,4211
txn_0000937,card_00775,2026-01-05T21:16:31Z,restaurant,True,False,dev_001483,SG,3356
txn_0000938,card_00256,2026-01-09T21:25:10Z,grocery,True,True,dev_004943,DE,7330
txn_0000939,card_00107,2026-01-30T22:59:13Z,utilities,False,True,dev_000667,GB,144401
